BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area
Netty Prosterman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8575&street=HEATHER%20STREET;8575;HEATHER STREET;2;21;"{""type"": ""Point"", ""coordinates"": [-123.1248658, 49.20861461]}";Marpole
209 Heatley Avenue Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=209&street=HEATLEY%20AVENUE;209;HEATLEY AVENUE;2;10;"{""type"": ""Point"", ""coordinates"": [-123.08977891, 49.28272714]}";Strathcona
Brightside Community Homes Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2975&street=HORLEY%20STREET;2975;HORLEY STREET;2;34;"{""type"": ""Point"", ""coordinates"": [-123.04413053, 49.23966521]}";Renfrew-Collingwood
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1119&street=HORNBY%20STREET;1119;HORNBY STREET;130;87;;
Vancouver Jewish Building Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1260&street=HOWE%20STREET;1260;HOWE STREET;4;65;"{""type"": ""Point"", ""coordinates"": [-123.12780759, 49.2770125]}";Downtown
Beng Kim Yeung (Beng Yeung);http://app.vancouver.ca/RPS_Net/Default.aspx?num=8619&street=HUDSON%20STREET;8619;HUDSON STREET;2;10;"{""type"": ""Point"", ""coordinates"": [-123.1350487, 49.20829758]}";Marpole
Sik Ging Huie (Sik-Ging Huie);http://app.vancouver.ca/RPS_Net/Default.aspx?num=306&street=JACKSON%20AVENUE;306;JACKSON AVENUE;1;36;"{""type"": ""Point"", ""coordinates"": [-123.09317028, 49.28189685]}";Strathcona
Whistler Valley Construction Corp Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=830&street=JACKSON%20AVENUE;830;JACKSON AVENUE;5;11;"{""type"": ""Point"", ""coordinates"": [-123.09345978, 49.27689726]}";Strathcona
EMV Holdings Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=950&street=JERVIS%20STREET;950;JERVIS STREET;4;41;"{""type"": ""Point"", ""coordinates"": [-123.13021598, 49.28566322]}";West End
S A H Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=610&street=JERVIS%20STREET;610;JERVIS STREET;1;50;"{""type"": ""Point"", ""coordinates"": [-123.12584381, 49.28854661]}";Downtown
IMH 1005 Jervis Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1005&street=JERVIS%20STREET;1005;JERVIS STREET;5;136;"{""type"": ""Point"", ""coordinates"": [-123.13244789, 49.28496308]}";West End
Aquaterra Management Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1150&street=JERVIS%20STREET;1150;JERVIS STREET;7;216;"{""type"": ""Point"", ""coordinates"": [-123.13388422, 49.28247471]}";West End
Green Power Real Estate Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5187&street=JOYCE%20STREET;5187;JOYCE STREET;2;5;"{""type"": ""Point"", ""coordinates"": [-123.03273733, 49.23774453]}";Renfrew-Collingwood
Kenneth Sam;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2582&street=KINGSWAY;2582;KINGSWAY;1;5;"{""type"": ""Point"", ""coordinates"": [-123.05268196, 49.23905631]}";Renfrew-Collingwood
Song Xanh Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1265&street=KINGSWAY;1265;KINGSWAY;1;6;"{""type"": ""Point"", ""coordinates"": [-123.07855207, 49.25179464]}";Kensington-Cedar Cottage
Superior Holdings Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2535&street=KINGSWAY;2535;KINGSWAY;2;10;"{""type"": ""Point"", ""coordinates"": [-123.0532568, 49.23999952]}";Renfrew-Collingwood
City of Vancouver;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3484&street=KINGSWAY;3484;KINGSWAY;7;123;"{""type"": ""Point"", ""coordinates"": [-123.03124616, 49.23140021]}";Killarney
Shane Kit Chung Cheung (Shane Cheung);http://app.vancouver.ca/RPS_Net/Default.aspx?num=3611&street=KINGSWAY;3611;KINGSWAY;2;7;"{""type"": ""Point"", ""coordinates"": [-123.02555193, 49.23248561]}";Renfrew-Collingwood
1096329 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=7849&street=KNIGHT%20STREET;7849;KNIGHT STREET;1;12;"{""type"": ""Point"", ""coordinates"": [-123.07751815, 49.21330929]}";Sunset
Happy Harvest Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=307&street=MAIN%20STREET;307;MAIN STREET;1;9;"{""type"": ""Point"", ""coordinates"": [-123.10009697, 49.28207135]}";Downtown
Northstar International Motor Hotel Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=917&street=MAIN%20STREET;917;MAIN STREET;2;88;"{""type"": ""Point"", ""coordinates"": [-123.10047957, 49.27657253]}";Downtown
ThePorter Residences Investments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2339&street=MAIN%20STREET;2339;MAIN STREET;1;29;"{""type"": ""Point"", ""coordinates"": [-123.10141092, 49.26399911]}";Mount Pleasant
Kevington Building Corporation Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4453&street=MAIN%20STREET;4453;MAIN STREET;2;79;"{""type"": ""Point"", ""coordinates"": [-123.10168308, 49.24519925]}";Riley Park
Affordable Housing Advisory Association;http://app.vancouver.ca/RPS_Net/Default.aspx?num=375&street=MAIN%20STREET;375;MAIN STREET;8;76;"{""type"": ""Point"", ""coordinates"": [-123.10011042, 49.28158604]}";Downtown
Wai Hui;http://app.vancouver.ca/RPS_Net/Default.aspx?num=628&street=MAIN%20STREET;628;MAIN STREET;1;10;"{""type"": ""Point"", ""coordinates"": [-123.09929942, 49.27897436]}";Strathcona
Bonnis Development Union Street Limited Partnership;http://app.vancouver.ca/RPS_Net/Default.aspx?num=796&street=MAIN%20STREET;796;MAIN STREET;1;23;"{""type"": ""Point"", ""coordinates"": [-123.0993605, 49.27778623]}";Strathcona
928 Main St Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=928&street=MAIN%20STREET;928;MAIN STREET;6;42;"{""type"": ""Point"", ""coordinates"": [-123.09947676, 49.27628169]}";Strathcona
Affordable Housing Charitable Association;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1129&street=MAIN%20STREET;1129;MAIN STREET;1;29;"{""type"": ""Point"", ""coordinates"": [-123.10047839, 49.27455606]}";Downtown
Teddy Lai & YanHong Chen;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3616&street=MAIN%20STREET;3616;MAIN STREET;3;6;"{""type"": ""Point"", ""coordinates"": [-123.10057308, 49.25263361]}";Riley Park
Neighbourhood Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=380&street=MAIN%20STREET;380;MAIN STREET;1;35;"{""type"": ""Point"", ""coordinates"": [-123.09917453, 49.28168215]}";Strathcona
Shun Chi Company Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=507&street=MAIN%20STREET;507;MAIN STREET;5;30;"{""type"": ""Point"", ""coordinates"": [-123.100152, 49.28012653]}";Downtown
Li-Wah Ng & Sik-Wah Ng;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4515&street=MAIN%20STREET;4515;MAIN STREET;7;7;"{""type"": ""Point"", ""coordinates"": [-123.10170576, 49.2442134]}";Riley Park
Lantern Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2254&street=MCGILL%20STREET;2254;MCGILL STREET;2;35;"{""type"": ""Point"", ""coordinates"": [-123.05896931, 49.28815833]}";Grandview-Woodland
Huntly Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1218&street=MELVILLE%20STREET;1218;MELVILLE STREET;2;6;"{""type"": ""Point"", ""coordinates"": [-123.1248631, 49.28791398]}";Downtown
Jacqueline Ward;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8656&street=MONTCALM%20STREET;8656;MONTCALM STREET;1;10;"{""type"": ""Point"", ""coordinates"": [-123.13574209, 49.20783025]}";Marpole
Monarch Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8679&street=MONTCALM%20STREET;8679;MONTCALM STREET;1;9;"{""type"": ""Point"", ""coordinates"": [-123.13663291, 49.20756875]}";Marpole
Donald Nip;http://app.vancouver.ca/RPS_Net/Default.aspx?num=112&street=NANAIMO%20STREET;112;NANAIMO STREET;3;14;"{""type"": ""Point"", ""coordinates"": [-123.05625613, 49.28361978]}";Hastings-Sunrise
Frank Chi-Hung Lee (Frank Lee);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1745&street=NANAIMO%20STREET;1745;NANAIMO STREET;10;5;"{""type"": ""Point"", ""coordinates"": [-123.0570091, 49.26892851]}";Grandview-Woodland
The Bloom Group Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1115&street=NELSON%20STREET;1115;NELSON STREET;8;221;"{""type"": ""Point"", ""coordinates"": [-123.12867658, 49.28327763]}";West End
Samuel Heller Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1230&street=NELSON%20STREET;1230;NELSON STREET;8;108;"{""type"": ""Point"", ""coordinates"": [-123.13105053, 49.28406067]}";West End
Paul Heller Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1260&street=NELSON%20STREET;1260;NELSON STREET;6;107;"{""type"": ""Point"", ""coordinates"": [-123.13165589, 49.28444947]}";West End
Shelmarjay Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1735&street=NELSON%20STREET;1735;NELSON STREET;1;62;"{""type"": ""Point"", ""coordinates"": [-123.13737457, 49.28890757]}";West End
Seaboard Life Insurance Co;http://app.vancouver.ca/RPS_Net/Default.aspx?num=200&street=NELSON%20STREET;200;NELSON STREET;1;9;"{""type"": ""Point"", ""coordinates"": [-123.11892167, 49.27587844]}";Downtown
Block 81 Holdings Limited;http://app.vancouver.ca/RPS_Net/Default.aspx?num=808&street=NELSON%20STREET;808;NELSON STREET;10;32;"{""type"": ""Point"", ""coordinates"": [-123.12491391, 49.28004085]}";Downtown
HWP 852 Nicola Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=852&street=NICOLA%20STREET;852;NICOLA STREET;1;16;"{""type"": ""Point"", ""coordinates"": [-123.1317802, 49.28795926]}";West End
Dranly Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1250&street=NICOLA%20STREET;1250;NICOLA STREET;1;26;"{""type"": ""Point"", ""coordinates"": [-123.13806622, 49.28379391]}";West End
473788 B C Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3108&street=OAK%20STREET;3108;OAK STREET;4;22;"{""type"": ""Point"", ""coordinates"": [-123.12682456, 49.25762375]}";Fairview
British Columbia Easter Seal Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3981&street=OAK%20STREET;3981;OAK STREET;5;49;"{""type"": ""Point"", ""coordinates"": [-123.12801316, 49.25015411]}";Shaughnessy
Sandra F Hayden (Sandra Hayden);http://app.vancouver.ca/RPS_Net/Default.aspx?num=4141&street=OAK%20STREET;4141;OAK STREET;1;12;"{""type"": ""Point"", ""coordinates"": [-123.12799293, 49.24872435]}";Shaughnessy
AP Canada Investment Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8656&street=OAK%20STREET;8656;OAK STREET;4;34;"{""type"": ""Point"", ""coordinates"": [-123.12986511, 49.2077153]}";Marpole
Golden Pacific Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2925&street=OAK%20STREET;2925;OAK STREET;1;7;"{""type"": ""Point"", ""coordinates"": [-123.12702896, 49.25937264]}";Fairview
Robin Graham;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2636&street=ONTARIO%20STREET;2636;ONTARIO STREET;2;8;"{""type"": ""Point"", ""coordinates"": [-123.10465443, 49.26165354]}";Mount Pleasant
Grant Hanson;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2625&street=OXFORD%20STREET;2625;OXFORD STREET;3;5;"{""type"": ""Point"", ""coordinates"": [-123.0512055, 49.28595596]}";Hastings-Sunrise
Winson Estates Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1101&street=PACIFIC%20STREET;1101;PACIFIC STREET;8;57;"{""type"": ""Point"", ""coordinates"": [-123.13427423, 49.27855929]}";West End
Intra Pacific Buildings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1155&street=PACIFIC%20STREET;1155;PACIFIC STREET;7;69;"{""type"": ""Point"", ""coordinates"": [-123.13510391, 49.27908766]}";West End
William Squibb;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1862&street=PARKER%20STREET;1862;PARKER STREET;2;5;"{""type"": ""Point"", ""coordinates"": [-123.0661524, 49.27546075]}";Grandview-Woodland
Plan A - 1168 Pendrell St Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1168&street=PENDRELL%20STREET;1168;PENDRELL STREET;2;23;"{""type"": ""Point"", ""coordinates"": [-123.13200871, 49.28190481]}";West End
Coast Foundation Society (1974);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1188&street=PENDRELL%20STREET;1188;PENDRELL STREET;1;31;"{""type"": ""Point"", ""coordinates"": [-123.13218028, 49.28215354]}";West End
Thomas Downie Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1445&street=PENDRELL%20STREET;1445;PENDRELL STREET;1;43;"{""type"": ""Point"", ""coordinates"": [-123.13576132, 49.28508111]}";West End
Bosa Properties (Thurlow) Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1108&street=PENDRELL%20STREET;1108;PENDRELL STREET;1;162;"{""type"": ""Point"", ""coordinates"": [-123.13073597, 49.28109311]}";West End
Elisabeth Yee;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1775&street=PENDRELL%20STREET;1775;PENDRELL STREET;7;19;"{""type"": ""Point"", ""coordinates"": [-123.14008539, 49.28788565]}";West End
Maiway Investment Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4195&street=PERRY%20STREET;4195;PERRY STREET;2;10;"{""type"": ""Point"", ""coordinates"": [-123.07170484, 49.24789936]}";Kensington-Cedar Cottage
Richard Maurice Desilets (Richard Desilets);http://app.vancouver.ca/RPS_Net/Default.aspx?num=2456&street=POINT%20GREY%20ROAD;2456;POINT GREY ROAD;1;14;"{""type"": ""Point"", ""coordinates"": [-123.16098993, 49.27329351]}";Kitsilano
Gordon K Chambers (Gordon Chambers);http://app.vancouver.ca/RPS_Net/Default.aspx?num=2464&street=POINT%20GREY%20ROAD;2464;POINT GREY ROAD;1;10;"{""type"": ""Point"", ""coordinates"": [-123.16120164, 49.27329589]}";Kitsilano
The Bloom Group Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=329&street=POWELL%20STREET;329;POWELL STREET;1;36;"{""type"": ""Point"", ""coordinates"": [-123.09696743, 49.28339069]}";Strathcona
Lookout Housing and Health Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=376&street=POWELL%20STREET;376;POWELL STREET;3;50;"{""type"": ""Point"", ""coordinates"": [-123.09604982, 49.28286102]}";Strathcona
Affordable Housing Advisory Association;http://app.vancouver.ca/RPS_Net/Default.aspx?num=43&street=POWELL%20STREET;43;POWELL STREET;2;84;"{""type"": ""Point"", ""coordinates"": [-123.10320433, 49.28340214]}";Downtown
259 Powell Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=259&street=POWELL%20STREET;259;POWELL STREET;1;35;"{""type"": ""Point"", ""coordinates"": [-123.09810511, 49.28341114]}";Strathcona
0781178 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=316&street=POWELL%20STREET;316;POWELL STREET;1;79;"{""type"": ""Point"", ""coordinates"": [-123.09719122, 49.28288165]}";Strathcona
Cheng Hing Kai (Cheng Kai);http://app.vancouver.ca/RPS_Net/Default.aspx?num=326&street=POWELL%20STREET;326;POWELL STREET;10;39;"{""type"": ""Point"", ""coordinates"": [-123.09698152, 49.28287778]}";Strathcona
The Bloom Group Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=377&street=POWELL%20STREET;377;POWELL STREET;1;31;"{""type"": ""Point"", ""coordinates"": [-123.09593061, 49.2833689]}";Strathcona
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=POWELL%20STREET;1516;POWELL STREET;29;101;"{""type"": ""Point"", ""coordinates"": [-123.07335302, 49.28298396]}";Grandview-Woodland
Port Town Investments (Nominee) Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1895&street=POWELL%20STREET;1895;POWELL STREET;1;41;"{""type"": ""Point"", ""coordinates"": [-123.06610861, 49.28485538]}";Grandview-Woodland
Raincity Housing and Support Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=220&street=PRINCESS%20AVENUE;220;PRINCESS AVENUE;5;147;"{""type"": ""Point"", ""coordinates"": [-123.09089702, 49.2827536]}";Strathcona
1085125 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=230&street=PRINCESS%20AVENUE;230;PRINCESS AVENUE;2;13;"{""type"": ""Point"", ""coordinates"": [-123.09119349, 49.28249618]}";Strathcona
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=111&street=PRINCESS%20AVENUE;111;PRINCESS AVENUE;1;139;"{""type"": ""Point"", ""coordinates"": [-123.09179574, 49.28368398]}";Strathcona
Raincity Housing And Support Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=215&street=PRINCESS%20AVENUE;215;PRINCESS AVENUE;2;46;"{""type"": ""Point"", ""coordinates"": [-123.09173081, 49.2827773]}";Strathcona
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=375&street=PRINCESS%20AVENUE;375;PRINCESS AVENUE;1;46;"{""type"": ""Point"", ""coordinates"": [-123.09168097, 49.28148382]}";Strathcona
Hing Mee Society Of Vancouver;http://app.vancouver.ca/RPS_Net/Default.aspx?num=553&street=PRIOR%20STREET;553;PRIOR STREET;1;5;"{""type"": ""Point"", ""coordinates"": [-123.09240937, 49.27687652]}";Strathcona
Trasolini & Eng Construction Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=854&street=RENFREW%20STREET;854;RENFREW STREET;1;5;"{""type"": ""Point"", ""coordinates"": [-123.04364122, 49.27692078]}";Hastings-Sunrise
Trinity Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=440&street=RICHARDS%20STREET;440;RICHARDS STREET;5;10;"{""type"": ""Point"", ""coordinates"": [-123.11251685, 49.28340384]}";Downtown
Coast Foundation Society (1974);http://app.vancouver.ca/RPS_Net/Default.aspx?num=788&street=RICHARDS%20STREET;788;RICHARDS STREET;7;46;"{""type"": ""Point"", ""coordinates"": [-123.11719556, 49.28038982]}";Downtown
Stormwell Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1012&street=RICHELIEU%20AVENUE;1012;RICHELIEU AVENUE;1;20;"{""type"": ""Point"", ""coordinates"": [-123.12771373, 49.25572069]}";Shaughnessy
Jack Eng;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1030&street=ROBSON%20STREET;1030;ROBSON STREET;1;8;"{""type"": ""Point"", ""coordinates"": [-123.12378721, 49.28354253]}";West End
Harvest Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1875&street=ROBSON%20STREET;1875;ROBSON STREET;4;81;"{""type"": ""Point"", ""coordinates"": [-123.13634968, 49.29242277]}";West End
Hollyburn Properties (Alberta) Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1905&street=ROBSON%20STREET;1905;ROBSON STREET;1;101;"{""type"": ""Point"", ""coordinates"": [-123.13699716, 49.29288231]}";West End
Chan Gunn;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1933&street=ROBSON%20STREET;1933;ROBSON STREET;4;107;"{""type"": ""Point"", ""coordinates"": [-123.13733471, 49.29305759]}";West End
629623 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1100&street=SALSBURY%20DRIVE;1100;SALSBURY DRIVE;1;12;"{""type"": ""Point"", ""coordinates"": [-123.0671286, 49.27456794]}";Grandview-Woodland
Fraser Marine Drive Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=605&street=SE%20MARINE%20DRIVE;605;SE MARINE DRIVE;1;40;"{""type"": ""Point"", ""coordinates"": [-123.09153562, 49.21129068]}";Sunset
Fraser Marine Drive Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=695&street=SE%20MARINE%20DRIVE;695;SE MARINE DRIVE;1;79;"{""type"": ""Point"", ""coordinates"": [-123.09153562, 49.21129068]}";Sunset
Rocky International Investment Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8655&street=SELKIRK%20STREET;8655;SELKIRK STREET;3;32;"{""type"": ""Point"", ""coordinates"": [-123.1337216, 49.20752955]}";Marpole
bcIMC Realty Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=930&street=SEYMOUR%20STREET;930;SEYMOUR STREET;1;430;"{""type"": ""Point"", ""coordinates"": [-123.12108475, 49.27885485]}";Downtown
City of Vancouver;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1067&street=SEYMOUR%20STREET;1067;SEYMOUR STREET;4;110;"{""type"": ""Point"", ""coordinates"": [-123.12355177, 49.27796805]}";Downtown
Shirley S Lam & Tai Chuen Lam & Yuet Ha Cheung;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1203&street=SEYMOUR%20STREET;1203;SEYMOUR STREET;1;26;"{""type"": ""Point"", ""coordinates"": [-123.12556225, 49.27653564]}";Downtown
John & Allan Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=4580&street=SIDNEY%20STREET;4580;SIDNEY STREET;2;10;"{""type"": ""Point"", ""coordinates"": [-123.06332183, 49.24462656]}";Kensington-Cedar Cottage
Golden Spruce Investments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2772&street=SPRUCE%20STREET;2772;SPRUCE STREET;1;18;"{""type"": ""Point"", ""coordinates"": [-123.12865345, 49.26088068]}";Fairview
Hyung Kim & Ae Kim;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2502&street=ST.%20GEORGE%20STREET;2502;ST. GEORGE STREET;3;12;"{""type"": ""Point"", ""coordinates"": [-123.09275874, 49.26218927]}";Mount Pleasant
Jim Bonnis;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2490&street=STEPHENS%20STREET;2490;STEPHENS STREET;1;30;"{""type"": ""Point"", ""coordinates"": [-123.16617064, 49.26429057]}";Kitsilano
S-1188 Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=815&street=SW%20MARINE%20DRIVE;815;SW MARINE DRIVE;1;18;"{""type"": ""Point"", ""coordinates"": [-123.12462413, 49.20735565]}";Marpole
Manhattan Co-operative Housing Association;http://app.vancouver.ca/RPS_Net/Default.aspx?num=784&street=THURLOW%20STREET;784;THURLOW STREET;6;44;"{""type"": ""Point"", ""coordinates"": [-123.12435925, 49.28466363]}";West End
Lucky ZA Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=998&street=THURLOW%20STREET;998;THURLOW STREET;2;41;"{""type"": ""Point"", ""coordinates"": [-123.12753466, 49.28254355]}";West End
Tri Street Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2381&street=TRINITY%20STREET;2381;TRINITY STREET;1;1;"{""type"": ""Point"", ""coordinates"": [-123.05692667, 49.2895761]}";Grandview-Woodland
Ken Lum;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2236&street=TRINITY%20STREET;2236;TRINITY STREET;3;10;"{""type"": ""Point"", ""coordinates"": [-123.05832958, 49.28906088]}";Grandview-Woodland
Ying Kwan Ng & Chau Ng;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2224&street=TRINITY%20STREET;2224;TRINITY STREET;1;10;"{""type"": ""Point"", ""coordinates"": [-123.05855237, 49.28906166]}";Grandview-Woodland
2065 Triumph Street Developments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2065&street=TRIUMPH%20STREET;2065;TRIUMPH STREET;8;15;"{""type"": ""Point"", ""coordinates"": [-123.06189805, 49.28415433]}";Grandview-Woodland
Orr Development Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2115&street=TRIUMPH%20STREET;2115;TRIUMPH STREET;4;18;"{""type"": ""Point"", ""coordinates"": [-123.06101103, 49.28415886]}";Grandview-Woodland
2225 Triumph Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2225&street=TRIUMPH%20STREET;2225;TRIUMPH STREET;3;42;"{""type"": ""Point"", ""coordinates"": [-123.05916367, 49.28415354]}";Grandview-Woodland
Hawthorne Charitable Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1824&street=VENABLES%20STREET;1824;VENABLES STREET;1;7;"{""type"": ""Point"", ""coordinates"": [-123.06696161, 49.27636563]}";Grandview-Woodland
Melanim Investments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=765&street=VICTORIA%20DRIVE;765;VICTORIA DRIVE;3;13;"{""type"": ""Point"", ""coordinates"": [-123.06589258, 49.27775945]}";Grandview-Woodland
